"filename", "language", "JSON", "Python", "comment", "blank", "total"
"/home/h/hosseinis/vision_lab/vision_lab/main/notebooks/test.ipynb", "JSON", 0, 0, 0, 1, 1
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/download_sources.py", "Python", 0, 98, 47, 43, 188
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/explain_gradcam.py", "Python", 0, 72, 19, 28, 119
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/live_cam.py", "Python", 0, 118, 56, 46, 220
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/livewebcam.py", "Python", 0, 34, 30, 16, 80
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/prepare_images_raw.py", "Python", 0, 227, 40, 68, 335
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/prepare_images_raw_ferplus_only.py", "Python", 0, 320, 21, 72, 413
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/run_mtcnn_crop_norm.py", "Python", 0, 88, 13, 31, 132
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/run_mtcnn_crop_norm_ferplus_only.py", "Python", 0, 88, 6, 29, 123
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/run_mtcnn_cropped.py", "Python", 0, 169, 27, 54, 250
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/train.py", "Python", 0, 105, 87, 36, 228
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/train_convnext.py", "Python", 0, 150, 24, 39, 213
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/train_dummy.py", "Python", 0, 30, 1, 12, 43
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/train_efficientnetv2.py", "Python", 0, 225, 18, 42, 285
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/train_resnet18_model.py", "Python", 0, 398, 69, 112, 579
"/home/h/hosseinis/vision_lab/vision_lab/main/scripts/train_simple_model.py", "Python", 0, 294, 201, 88, 583
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/cli/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/config/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/config/defaults.py", "Python", 0, 64, 46, 23, 133
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/config/parse_overrides.py", "Python", 0, 46, 30, 19, 95
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/dataset/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/dataset/dataloaders/build.py", "Python", 0, 106, 55, 33, 194
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/dataset/dataloaders/dataloader.py", "Python", 0, 106, 28, 38, 172
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/dataset/dataloaders/dataloader_main.py", "Python", 0, 193, 67, 66, 326
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/engine/__init__.py", "Python", 0, 3, 0, 0, 3
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/engine/checkpoint.py", "Python", 0, 36, 0, 5, 41
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/engine/evaluator.py", "Python", 0, 32, 1, 10, 43
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/engine/trainer.py", "Python", 0, 75, 2, 20, 97
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/inference/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/metrics/__init__.py", "Python", 0, 1, 0, 1, 2
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/metrics/classification.py", "Python", 0, 84, 7, 25, 116
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/metrics/confusion.py", "Python", 0, 97, 19, 33, 149
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/__init__.py", "Python", 0, 2, 2, 1, 5
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/cnn_resnet18.py", "Python", 0, 75, 22, 24, 121
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/cnn_resnet50.py", "Python", 0, 67, 33, 27, 127
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/cnn_simple.py", "Python", 0, 16, 0, 3, 19
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/cnn_vanilla.py", "Python", 0, 33, 7, 9, 49
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/coatnet.py", "Python", 0, 318, 8, 52, 378
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/convnext.py", "Python", 0, 189, 18, 48, 255
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/emocatnets.py", "Python", 0, 372, 85, 82, 539
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/emocatnetsv2.py", "Python", 0, 429, 94, 104, 627
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/emonext.py", "Python", 0, 278, 42, 65, 385
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/factory.py", "Python", 0, 18, 7, 5, 30
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/mobilenetv2.py", "Python", 0, 75, 15, 26, 116
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/mobilenetv3large.py", "Python", 0, 91, 12, 28, 131
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/ready/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/ready/trained_models.py", "Python", 0, 46, 14, 15, 75
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/models/registry.py", "Python", 0, 211, 21, 38, 270
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/pre_processing/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/pre_processing/augmentations.py", "Python", 0, 0, 0, 1, 1
